,open,high,low,close,volume
20201222,83100,84000,81700,81700,25096
20201221,82600,83900,82300,83800,28496
20201218,85200,85200,82300,82600,67367
20201217,86200,86500,84800,85700,32481
20201216,85800,88400,85000,86600,69479
20201215,85000,85400,82800,84200,44206
20201214,83000,85400,83000,84800,84109
20201211,79900,83000,79900,83000,67520
20201210,77900,79200,76500,78400,60528
20201209,76800,77700,76300,77500,27970
20201208,77200,77600,75800,76600,41273
20201207,78600,79000,76300,76600,52219
20201204,76800,79300,76300,79000,119892
20201203,75300,76000,74700,75700,41917
20201202,74300,75300,73900,75300,47224
20201201,73300,74500,73000,74300,58824
20201130,73300,73700,72400,72800,39760
20201127,73700,73800,72800,73300,31924
20201126,73800,74400,73100,73700,44259
20201125,74700,74900,73800,74100,63592
20201124,73900,75100,73600,74500,46634
20201123,74000,74600,73100,73900,33904
20201120,72900,74100,72400,73700,34414
20201119,73600,73700,72400,72900,37437
20201118,74800,75000,73100,73300,38621
20201117,74400,75200,74100,74800,32986
20201116,73900,75400,72600,74800,45544
20201113,74000,74400,73200,73900,26553
20201112,74200,74500,73300,74200,61724
20201111,74100,75400,73200,74800,55493
20201110,73500,75000,72300,74700,53563
20201109,73000,74900,72500,74000,77803
20201106,71400,72800,71200,71600,30725
20201105,71600,71900,70300,71300,44471
20201104,72400,72900,71400,72000,17041
20201103,71300,72400,71200,71700,20304
20201102,71400,72300,70900,71600,25224
20201030,72700,72700,70200,70700,33899
20201029,72200,73500,71800,73100,43870
20201028,71000,73200,71000,72500,19422
20201027,71300,73800,70200,71900,43900
20201026,77000,77000,71900,72500,43532
20201023,75500,77000,74800,77000,57393
20201022,75300,75500,74400,75300,29711
20201021,74900,75400,74300,75400,39912
20201020,73700,74900,73400,74900,53898
20201019,73300,74400,72800,74200,75605
20201016,71600,72500,71000,72500,25285
20201015,73100,73400,70700,71500,29941
20201014,73300,74800,73100,73500,57963
20201013,72700,73500,72400,73400,39676
20201012,71900,72500,70800,72400,39844
20201008,71000,71500,70500,70900,49833
20201007,70900,71100,69500,70900,25620
20201006,71400,72400,70000,70200,35188
20201005,73500,73500,71100,71500,26397
20200929,69500,71700,69500,71300,33232
20200928,68600,69900,68100,69500,24435
20200925,70700,71600,67800,67900,49446
20200924,71400,72500,69200,70100,40978
20200923,72500,73800,70900,72900,47808
20200922,74000,74000,71200,72400,45041
20200921,77000,77000,73200,74100,56407
20200918,75400,76300,73500,75900,60095
20200917,74900,76500,73200,74300,57518
20200916,74700,77500,73200,74700,89208
20200915,77500,77500,74700,75800,67219
20200914,73300,78000,73300,76000,147551
20200911,70000,74500,69500,72500,199477
20200910,67500,68800,66600,68100,62888
20200909,64700,67800,64000,66900,61254
20200908,63300,66900,63100,65800,54642
20200907,62700,63500,62300,62800,27141
20200904,64000,64100,62800,63400,41502
20200903,67400,67400,64300,65200,44044
20200902,64500,66000,64000,65200,31069
20200901,65300,66000,63600,64900,45049
20200831,62900,67000,62900,65300,132302
20200828,60000,61900,59400,61800,107300
20200827,58900,59000,57800,58300,37998
20200826,60300,60300,58700,58900,32098
20200825,58800,60100,58600,60000,26631
20200824,57800,59200,57800,58800,16800
20200821,57900,59200,57600,58300,36133
20200820,61200,61300,57900,57900,75547
20200819,61600,62100,61100,61700,33278
20200818,64500,64500,61600,61600,34827
20200814,65500,65500,63200,64000,26412
20200813,63800,65100,63300,64300,60896
20200812,63500,64300,62100,62900,66591
20200811,62500,63400,62100,62800,37302
20200810,61600,63000,61100,62500,42059
20200807,61700,62800,61500,62100,29432
20200806,60900,62500,60800,61800,42631
20200805,60700,61600,60500,60800,24827
20200804,60200,61500,60100,61000,35298
20200803,60600,61000,60000,60100,30392
20200731,60700,61300,60500,60600,26263
20200730,60600,61700,60600,60800,30679
20200729,61200,61300,60500,60800,52835
20200728,62000,63100,61600,61600,28530
20200727,62700,63000,61600,62200,33459
20200724,62100,63100,61200,62500,18792
20200723,63400,63400,62300,62400,27726
20200722,64400,64800,63000,63300,43854
20200721,64300,65600,64300,64600,24617
20200720,65000,65400,64000,64600,11874
20200717,65500,65900,64000,65000,17049
20200716,64200,65500,63900,64700,18388
20200715,64900,65600,63600,64500,33975
20200714,62700,64500,62200,64500,18302
20200713,62400,63100,61600,63100,16684
20200710,62800,63000,61400,61700,34923
20200709,64100,64100,62100,62800,29572
20200708,64200,64400,63200,63700,22130
20200707,64800,65200,63700,64200,27315
20200706,65800,65800,63900,64700,27574
20200703,64500,65100,64300,64600,19164
20200702,64400,65600,64400,64500,12745
20200701,64200,65500,63800,64400,17717
20200630,64000,65200,63900,64000,15005
20200629,64000,64800,62800,63800,27476
20200626,64700,66700,63600,65400,22685
20200625,66500,66500,64500,64500,22180
20200624,65700,67000,65300,66900,19400
20200623,66500,66900,64500,66000,16005
20200622,67300,67600,66100,66100,20712
20200619,68600,68800,67100,68400,16691
20200618,68200,68600,67500,67800,29768
20200617,71000,71100,68500,69400,18868
20200616,67100,71000,66800,71000,32520
20200615,70400,70700,66500,66500,41583
20200612,70800,71600,68400,71600,42541
20200611,71100,72000,69500,71600,42653
20200610,73500,73800,72000,72000,20773
20200609,72600,73300,71500,72400,38785
20200608,72600,74000,71000,71800,28135
20200605,72700,72700,70200,72000,40326
20200604,69400,74200,69400,72600,77666
20200603,68400,69900,68400,69400,44213
20200602,66600,68800,66400,68400,40434
20200601,66200,67600,66000,67400,31569
20200529,67100,67500,66300,67000,34589
20200528,67700,68700,66200,67300,35025
20200527,68800,68900,67500,67900,28993
20200526,66900,68400,66900,68000,23758
20200525,68200,68200,66800,67100,17013
20200522,69500,69500,66800,67300,30791
20200521,68600,69400,68500,68900,25161
20200520,68800,69200,68300,69000,29297
20200519,67000,68500,67000,68400,31437
20200518,65700,66600,65000,66500,18378
20200515,67500,67500,65000,65700,24421
20200514,66500,66500,64600,65300,30970
20200513,66100,66700,64800,66700,20271
20200512,69600,69600,66000,66900,47408
20200511,70500,71000,69600,69800,28869
20200508,70800,71100,70300,70700,24045
20200507,71000,71100,69800,70800,31375
20200506,71900,71900,70000,71000,26987
20200504,71000,71600,69600,69600,32660
20200429,72700,72900,70500,72000,31181
20200428,68500,71300,68400,71300,41857
20200427,66600,69200,66000,68100,29672
20200424,67200,67900,66200,66500,17946
20200423,66700,67900,66000,67900,24784
20200422,67200,67200,65100,66900,27059
20200421,67100,68000,64500,67300,60910
20200420,64000,68500,62800,66400,53997
20200417,60900,64500,60800,63900,55790
20200416,60000,60700,59500,60700,38022
20200414,60800,61700,59600,61200,25185
20200413,62400,63000,60700,60700,36257
20200410,60200,62000,59800,61900,44415
20200409,61500,61500,59800,60400,35250
20200408,60200,61400,59700,60100,49826
20200407,61200,61900,59600,60800,47160
20200406,58900,60800,58200,60500,27346
20200403,58200,59300,56900,58100,25625
20200402,57100,59000,55600,58400,31902
20200401,57200,59300,56000,57400,37351
20200331,57900,60900,56400,57700,40604
20200330,56900,58500,55100,57800,30195
20200327,55100,58000,55100,57700,83033
20200326,51800,56000,50900,53900,65681
20200325,49300,51700,48450,51700,68011
20200324,46500,48200,45900,48100,67713
20200323,44250,46450,43200,45050,75562
20200320,46150,48500,42300,48500,131666
20200319,60000,61500,44050,45250,83697
20200318,65600,66800,60400,60400,37583
20200317,63400,67000,63300,66900,30704
