,open,high,low,close,volume
20201113,740237,757038,732330,748143,83950
20201112,752096,756050,744190,744190,73185
20201111,743202,758026,737272,752096,119202
20201110,767909,769886,741225,743202,212497
20201109,756050,764944,744190,752096,267058
20201106,771862,773839,758026,767909,159167
20201105,758026,777792,748143,771862,452512
20201104,700705,731342,698728,724424,255237
20201103,690822,698728,681927,690822,99027
20201102,682915,690822,674021,689833,85741
20201030,686869,703670,668091,674021,254107
20201029,622629,692798,622629,688845,304671
20201028,627571,635477,625594,629547,55793
20201027,622629,648325,616699,627571,129396
20201026,640418,653266,618676,622629,191840
20201023,651290,652278,623617,628559,199320
20201022,671056,675997,644372,650301,188821
20201021,675009,679950,669079,679950,47414
20201020,674021,680939,662161,674021,82669
20201019,683904,690822,677974,677974,59528
20201016,681927,690822,675997,678962,115223
20201015,704658,710588,695763,695763,67838
20201014,711576,711576,698728,698728,65343
20201013,710588,715529,709599,714541,58138
20201012,715529,715529,706635,710588,55297
20201008,716518,719482,703670,706635,76236
20201007,703670,717506,701693,712564,88987
20201006,679950,705646,678962,703670,102746
20201005,688845,692798,674021,676986,70301
20200929,681927,687857,676986,681927,69966
20200928,672044,681927,668091,676986,60018
20200925,666114,681927,657220,667103,110568
20200924,681927,689833,665126,665126,188435
20200923,723436,727389,689833,696752,201850
20200922,756050,762968,721459,722447,177037
20200921,746167,753085,726401,731342,97774
20200918,749131,753085,739248,749131,65564
20200917,763956,765933,748143,748143,122746
20200916,768897,770874,761979,766921,80918
20200915,757038,772851,752096,763956,94818
20200914,763956,763956,751108,754073,78113
20200911,749131,753085,746167,752096,73464
20200910,757038,758026,750120,755061,85507
20200909,755061,762968,747155,750120,130699
20200908,767909,771862,760991,764944,72665
20200907,763956,778780,758026,766921,86523
20200904,748143,764944,748143,763956,126376
20200903,759014,778780,756050,769886,133639
20200902,773839,776804,749131,760991,190913
20200901,765933,792617,765933,771862,164370
20200831,787675,789652,765933,768897,236378
20200828,798546,799535,785699,789652,101264
20200827,800523,802500,789652,791628,133872
20200826,802500,812383,797558,802500,102356
20200825,814359,816336,798546,805465,105474
20200824,790640,812383,789652,810406,133035
20200821,798546,799535,778780,789652,144788
20200820,790640,813371,782734,784710,203830
20200819,805465,818312,795582,799535,151804
20200818,790640,827207,785699,792617,275175
20200814,805465,820289,781745,790640,218937
20200813,827207,834125,799535,810406,370642
20200812,805465,844008,804476,833137,769426
20200811,783722,822266,773839,794593,770460
20200810,759014,771862,747155,761979,179811
20200807,773839,775816,753085,759014,169200
20200806,796570,801511,763956,768897,290278
20200805,737272,783722,731342,777792,527264
20200804,726401,737272,721459,726401,110041
20200803,719482,731342,708611,727389,165663
20200731,727389,736284,724424,724424,96150
20200730,726401,735295,715529,727389,145203
20200729,754073,754073,728377,732330,193797
20200728,755061,761979,751108,752096,169714
20200727,744190,756050,743202,745178,94765
20200724,759014,763956,746167,746167,147048
20200723,784710,787675,762968,765933,203037
20200722,748143,780757,735295,780757,376239
20200721,734307,743202,733319,741225,169317
20200720,735295,743202,726401,730354,192987
20200717,717506,735295,707623,734307,150480
20200716,741225,741225,723436,723436,119679
20200715,740237,741225,729365,740237,169344
20200714,724424,740237,715529,726401,171717
20200713,729365,729365,707623,721459,182052
20200710,739248,739248,716518,722447,165442
20200709,727389,743202,720471,732330,207126
20200708,738260,745178,717506,727389,291063
20200707,754073,758026,737272,742213,256616
20200706,756050,758026,736284,745178,253450
20200703,785699,786687,755061,761979,227975
20200702,755061,785699,754073,776804,269874
20200701,765933,774827,743202,743202,227965
20200630,774827,781745,756050,765933,233349
20200629,798546,799535,774827,774827,176498
20200626,811394,813371,783722,800523,177211
20200625,801511,823254,801511,805465,165273
20200624,824242,825231,803488,809418,288114
20200623,790640,806453,777792,792617,295523
20200622,785699,798546,775816,783722,177871
20200619,806453,806453,768897,791628,353858
20200618,814359,821277,797558,800523,191705
20200617,813371,824242,797558,814359,281975
20200616,836102,837090,798546,816336,408867
20200615,817324,852903,760991,798546,856677
20200612,710588,807441,709599,795582,798811
20200611,707623,760991,702681,738260,600222
20200610,671056,696752,668091,695763,286129
20200609,671056,681927,659196,668091,299638
20200608,659196,663149,638442,656231,302303
20200605,637454,670067,632512,657220,329936
20200604,618676,652278,609781,642395,585663
20200603,627571,630535,609781,618676,187213
20200602,618676,623617,613734,621641,84464
20200601,621641,624606,612746,621641,120213
20200529,608793,620652,605828,614723,151306
20200528,611758,619664,595945,603851,226033
20200527,637454,637454,615711,616699,210036
20200526,627571,637454,619664,637454,236604
20200525,611758,626582,608793,624606,229327
20200522,622629,632512,603851,610769,402298
20200521,593968,602863,587050,601875,166885
20200520,591992,595945,588039,592980,102852
20200519,600886,601875,585074,592980,189160
20200518,606816,618676,583097,590015,221447
20200515,608793,609781,593968,597922,149632
20200514,605828,606816,592980,604840,192384
20200513,582109,611758,581120,608793,516511
20200512,579144,586062,576179,585074,190472
20200511,585074,589027,574202,579144,166753
20200508,564319,591992,563331,581120,443518
20200507,564319,571237,559378,560366,140586
20200506,554436,571237,552460,568273,206840
20200504,559378,565308,548507,549495,306337
20200429,580132,582109,574202,574202,159658
20200428,582109,591003,576179,581120,191559
20200427,586062,589027,575191,581120,178536
20200424,591003,595945,581120,584085,405581
20200423,574202,600886,569261,593968,1040700
20200422,566296,587050,565308,573214,632649
20200421,561354,576179,550483,572226,1009093
20200420,553448,569261,548507,559378,478455
20200417,546530,561354,524787,559378,786185
20200416,529729,546530,528741,533682,301245
20200414,535659,553448,522811,535659,545509
20200413,563331,582109,532694,532694,1198939
20200410,494150,595945,488714,552460,3073530
20200409,475866,477349,468454,472902,126736
20200408,476855,478831,471913,471913,125660
20200407,480314,480314,468454,476855,179306
20200406,468948,482290,467466,471419,221996
20200403,458077,472407,455606,462030,223061
20200402,445723,462524,443747,459065,189693
20200401,475372,480314,445229,447206,316722
20200331,449677,487232,442758,476361,673501
20200330,431887,446712,428428,444735,219506
20200327,461536,463513,430899,437817,404729
20200326,464007,469443,450665,451159,327938
20200325,486738,488220,456595,469443,436424
20200324,447206,486244,442758,470431,515065
20200323,401250,449182,400756,430899,596722
20200320,379013,445723,367153,424969,593684
20200319,405203,411133,347882,361718,476195
20200318,420522,422498,395814,395814,280164
20200317,405203,427934,404709,412615,428629
20200316,457583,468948,424475,424969,220954
20200313,459560,472407,415086,451159,482741
20200312,474384,483279,461536,477349,247776
20200311,501068,507986,470925,478337,204294
20200310,483279,491185,480314,490197,158093
20200309,478337,494150,477349,488220,204502
20200306,485255,488220,481796,485255,94527
20200305,492668,493162,484267,490691,131942
20200304,473890,485255,473396,483279,141737
20200303,473890,496127,470925,473890,236695
20200302,457583,466972,452147,461536,151013
20200228,467466,469443,450171,458077,234604
20200227,473396,478337,465489,474384,167992
20200226,462524,478831,461536,474384,158589
20200225,453630,473890,452641,473396,249468
20200224,464501,471913,455606,455606,282197
20200221,487232,488220,477349,480808,216625
20200220,501068,507986,489209,492668,264403
20200219,506998,510951,494150,499092,177674
20200218,507986,511939,504033,506998,122913
20200217,522811,522811,510951,512928,147678
20200214,523799,526764,521822,522811,78304
20200213,530717,530717,520834,523799,113184
20200212,521822,531705,518858,523799,133035
20200211,529729,535659,517869,521822,172891
20200210,512928,527752,505021,523799,154827
20200207,514904,517869,504033,512928,127251
20200206,491679,516881,488220,512928,301785
20200205,489703,493656,483279,484267,96267
20200204,477349,487232,476855,486738,114815
20200203,471419,478337,459560,473890,195542
20200131,489209,493656,478831,478831,133760
20200130,484761,494150,479326,489209,163487
20200129,489703,489703,479326,485255,163405
20200128,471419,493162,470431,488220,323855
20200123,464007,487232,453136,477349,443721
20200122,431887,448688,431393,446712,181776
20200121,434358,439299,431887,432875,71143
20200120,433864,437323,432381,432875,66948
20200117,431393,433864,426946,431887,68150
20200116,429911,433864,425463,431393,70249
20200115,428428,431393,424969,429416,62077
20200114,435346,436829,427934,429911,106705
20200113,433864,438311,429911,435346,125571
20200110,417063,433864,413109,431393,186357
20200109,412121,416568,411133,415086,87196
20200108,407674,410145,396308,403721,153765
20200107,410639,414592,406191,414098,86669
20200106,409650,411627,406191,407180,101162
20200103,426451,431393,413604,417063,125276
20200102,427934,434358,420522,423487,109563
20191230,424969,436829,423487,427934,138468
20191227,414098,432875,410145,424475,225248
20191226,415086,415086,408168,408662,141377
20191224,416568,427934,411133,412121,173087
20191223,393343,418545,392849,417557,389602
20191220,391367,392849,390873,391861,76507
20191219,389884,391861,388896,390873,60179
20191218,391367,392355,388896,389884,76305
20191217,389390,391367,387414,390379,75179
20191216,390379,394332,389390,390379,69249
20191213,388402,392355,387414,391367,90162
20191212,383955,387414,383460,385437,94664
20191211,386919,388896,382472,384449,40253
20191210,379507,386425,378519,385437,43791
20191209,386425,389390,380496,383460,64105
20191206,391861,392355,385437,390379,87689
20191205,386919,391367,380496,391367,70450
20191204,388896,390873,383955,386919,60742
20191203,381484,389390,380496,389390,52103
20191202,389390,393343,382472,385437,64759
20191129,396802,397791,388402,388896,74944
20191128,391367,395320,391367,394332,69299
20191127,388402,392849,381978,392355,73040
20191126,386425,389884,384449,384449,101476
20191125,384449,388402,381484,386425,82141
20191122,382966,386425,376048,380496,83519
20191121,394826,394826,379507,386425,101553
20191120,391861,396308,389390,394826,70877
20191119,398779,398779,391367,394332,49267
20191118,393343,398285,393343,397297,95740
20191115,388402,393343,388402,393343,61353
20191114,385931,393343,385931,390873,55381
20191113,392355,393343,384449,384943,78689
20191112,395320,395320,390379,393343,47697
20191111,383955,397297,383955,394826,100784
20191108,399767,400262,383955,385437,126140
20191107,396308,400262,395814,399767,99836
20191106,394826,397791,393838,394826,58832
20191105,397791,397791,394332,394826,77516
